57 - ckmb52fldxkseven3fkjgcbzmnr7                       - ckmb52fldxkse7ven3fkjgcbzmnr7                     
11 - dc1fdzzsvnb                                        - dc1fdzzsvnb                                       
12 - 1xfourtwo                                          - 1xfo4urt2o                                        
13 - 1mvt283                                            - 1mvt283                                           
52 - fivecflqkthreek2                                   - fi5vecflqkth3eek2                                 
78 - 7gtdlvbcxvrxvx1264eight                            - 7gtdlvbcxvrxvx1264ei8ght                          
16 - b1pbpcsix                                          - b1pbpcsi6x                                        
59 - fivefourzqrmbpgnqzgpzhfour9                        - fi5vefo4urzqrmbpgnqzgpzhfo4ur9                    
73 - seventhree5cnvjmthree                              - se7venth3ee5cnvjmth3ee                            
18 - ksblnqbkgnfone8                                    - ksblnqbkgnfo1e8                                   
84 - 8fourvkhkhlsjq                                     - 8fo4urvkhkhlsjq                                   
26 - twoqjvb9zjvpfz2onesixk                             - t2oqjvb9zjvpfz2o1esi6xk                           
78 - tdjmrcvsevensix1seveneight                         - tdjmrcvse7vensi6x1se7venei8ght                    
57 - 5mqxkkcttfivezdbcdmlfivebchqlcktpseven             - 5mqxkkcttfi5vezdbcdmlfi5vebchqlcktpse7ven         
78 - 7bzsnljccxqbtq3dsfsbrlpgqjzxeight                  - 7bzsnljccxqbtq3dsfsbrlpgqjzxei8ght                
13 - one4mjgfhzsjdc3crgthhjrznd                         - o1e4mjgfhzsjdc3crgthhjrznd                        
68 - sixthreektx8xjbdjlq                                - si6xth3eektx8xjbdjlq                              
58 - bgvldztfivetwo3tldvpzkmonepdvppd8                  - bgvldztfi5vet2o3tldvpzkmo1epdvppd8                
91 - xhzm91                                             - xhzm91                                            
13 - oneskfoureight23                                   - o1eskfo4urei8ght23                                
64 - ppsj64                                             - ppsj64                                            
45 - fgrf45four5                                        - fgrf45fo4ur5                                      
42 - four2two                                           - fo4ur2t2o                                         
78 - 798jcgzf                                           - 798jcgzf                                          
93 - 93mxc                                              - 93mxc                                             
59 - hn5q9rm2vtksix9                                    - hn5q9rm2vtksi6x9                                  
98 - cvdldzschflc9eight                                 - cvdldzschflc9ei8ght                               
98 - mqdtndzvv9eightkzxlgvcggrkltzlphcfq                - mqdtndzvv9ei8ghtkzxlgvcggrkltzlphcfq              
87 - beightwoone6rqjcqq7sixfourrkghseven                - bei8ght2oo1e6rqjcqq7si6xfo4urrkghse7ven           
21 - two9nine9foursevenfourone                          - t2o9ni9ne9fo4urse7venfo4uro1e                     
76 - 793sixzngtcbrbtjmbjbqxzpqjkn                       - 793si6xzngtcbrbtjmbjbqxzpqjkn                     
14 - 1five4                                             - 1fi5ve4                                           
44 - x4                                                 - x4                                                
57 - qmlvsptmqhfvbfiveonemnmzshczjgsvgsgpps2seven       - qmlvsptmqhfvbfi5veo1emnmzshczjgsvgsgpps2se7ven    
29 - 28eightmt9                                         - 28ei8ghtmt9                                       
18 - 1four8hbpnktmn                                     - 1fo4ur8hbpnktmn                                   
63 - 6nine5threeplcsdrn96four3                          - 6ni9ne5th3eeplcsdrn96fo4ur3                       
26 - two3vdvh6                                          - t2o3vdvh6                                         
34 - three7fiverkjmllclbprmqgb4                         - th3ee7fi5verkjmllclbprmqgb4                       
21 - strvnllfmqm2threesixbbrjxbjvvxvjhr91               - strvnllfmqm2th3eesi6xbbrjxbjvvxvjhr91             
49 - 4dbqqbdcddldhgxjrnfivehz9                          - 4dbqqbdcddldhgxjrnfi5vehz9                        
81 - v81nnvzv                                           - v81nnvzv                                          
32 - 3ssptnqhmrzbseveneightwoxdx                        - 3ssptnqhmrzbse7venei8ght2oxdx                     
92 - ninetthree72                                       - ni9netth3ee72                                     
53 - 556five2three                                      - 556fi5ve2th3ee                                    
91 - 99175onepzqpj                                      - 99175o1epzqpj                                     
87 - 8tmbfpbsninenineglvbh7gnrd                         - 8tmbfpbsni9neni9neglvbh7gnrd                      
38 - three8zmtvxqmksfpvkfourp9twooneightzgs             - th3ee8zmtvxqmksfpvkfo4urp9t2oo1ei8ghtzgs          
12 - khmcnch1tb2                                        - khmcnch1tb2                                       
55 - 5jtcggvdfzmsppshsqlhz                              - 5jtcggvdfzmsppshsqlhz                             
28 - 249sixtwofoureight                                 - 249si6xt2ofo4urei8ght                             
64 - 6sixfourxpnt                                       - 6si6xfo4urxpnt                                    
63 - 6threen                                            - 6th3een                                           
16 - 16qmgfjjmqnktnxgz                                  - 16qmgfjjmqnktnxgz                                 
17 - kjvbk1zzqhdkgxxghxsix77                            - kjvbk1zzqhdkgxxghxsi6x77                          
19 - sndnsm1741gtszjkmvxsevennine                       - sndnsm1741gtszjkmvxse7venni9ne                    
55 - kzlrrrjbtrrgf5jsbgxn                               - kzlrrrjbtrrgf5jsbgxn                              
44 - 4bnfdfbgthc                                        - 4bnfdfbgthc                                       
44 - ztghxzrdprvlfx4                                    - ztghxzrdprvlfx4                                   
59 - 54tzqlfjfnthree7twonine                            - 54tzqlfjfnth3ee7t2oni9ne                          
58 - knqkbts5ffqhdsfpmdeightnfhpjcmfmrl                 - knqkbts5ffqhdsfpmdei8ghtnfhpjcmfmrl               
82 - jzphxleightjhxvhdrseven5mktwo                      - jzphxlei8ghtjhxvhdrse7ven5mkt2o                   
15 - 1fivegxdknn                                        - 1fi5vegxdknn                                      
32 - 3onetpqdddbhb2seven2                               - 3o1etpqdddbhb2se7ven2                             
75 - 7seventhreebzcqpkdck5dc                            - 7se7venth3eebzcqpkdck5dc                          
71 - seven71                                            - se7ven71                                          
81 - eighttwo1                                          - ei8ghtt2o1                                        
56 - dfflcrcqfiveone2seven6                             - dfflcrcqfi5veo1e2se7ven6                          
88 - qpf8                                               - qpf8                                              
15 - 1seven1bjsmxzr54four5                              - 1se7ven1bjsmxzr54fo4ur5                           
74 - mmztpseven836four                                  - mmztpse7ven836fo4ur                               
31 - three8htqhzkrxhrfourthreebdrmjsvpfb1               - th3ee8htqhzkrxhrfo4urth3eebdrmjsvpfb1             
98 - zjhljpmmdms998ffjqgxgbkdbvxxppdltbrpzcbf           - zjhljpmmdms998ffjqgxgbkdbvxxppdltbrpzcbf          
76 - rj76                                               - rj76                                              
48 - vlxnnqxr4eight                                     - vlxnnqxr4ei8ght                                   
27 - 2twoonefourtwosevenpdpfkgdhhzlbfq                  - 2t2oo1efo4urt2ose7venpdpfkgdhhzlbfq               
54 - cn5five4                                           - cn5fi5ve4                                         
49 - hhqzsxlm45twonine                                  - hhqzsxlm45t2oni9ne                                
12 - ncszsls1z2                                         - ncszsls1z2                                        
64 - ktxkkbhcxcbnffzbsix8bf4r                           - ktxkkbhcxcbnffzbsi6x8bf4r                         
18 - xrk1bvvrxvkreighttwoeight                          - xrk1bvvrxvkrei8ghtt2oei8ght                       
46 - 4eightqbmtpsl2six                                  - 4ei8ghtqbmtpsl2si6x                               
11 - 13jzchfndpjpone                                    - 13jzchfndpjpo1e                                   
58 - fivefvm1sevenhjxrnkg2bfmdnbj8                      - fi5vefvm1se7venhjxrnkg2bfmdnbj8                   
97 - 9gcfmkhqrczseven7jkshrh                            - 9gcfmkhqrczse7ven7jkshrh                          
23 - twornrbjlvsdr1threem                               - t2ornrbjlvsdr1th3eem                              
22 - njzxgftwo4two                                      - njzxgft2o4t2o                                     
37 - threertvjcmtlr7nxhghbnvkq                          - th3eertvjcmtlr7nxhghbnvkq                         
63 - 6seven8drfivecvv3cr                                - 6se7ven8drfi5vecvv3cr                             
57 - fivefiveddnhmz25nine7                              - fi5vefi5veddnhmz25ni9ne7                          
27 - 2eight4nine47                                      - 2ei8ght4ni9ne47                                   
37 - nthreetwotwo67                                     - nth3eet2ot2o67                                    
44 - 4mbsqbpvf7threedp4fourvvdgkvzfkz                   - 4mbsqbpvf7th3eedp4fo4urvvdgkvzfkz                 
67 - sixthree1twozxldcqnvdcksfiveseven                  - si6xth3ee1t2ozxldcqnvdcksfi5vese7ven              
22 - nh2                                                - nh2                                               
42 - 4rczvpnvsptwo                                      - 4rczvpnvspt2o                                     
44 - foursevenone4                                      - fo4urse7veno1e4                                   
58 - 5sixkvsjjqzs32kbghctffhssmg98                      - 5si6xkvsjjqzs32kbghctffhssmg98                    
31 - zbclnpj3ncgjrpz6tcgdvjpdmkk1                       - zbclnpj3ncgjrpz6tcgdvjpdmkk1                      
42 - 4mmsbtfivetwodgvbhrzrlh                            - 4mmsbtfi5vet2odgvbhrzrlh                          
44 - sfour2fivefour                                     - sfo4ur2fi5vefo4ur                                 
99 - jx9                                                - jx9                                               
26 - xltwone6                                           - xlt2o1e6                                          
15 - 1szbglvbcblqtdqrbdqqhbfzrrq4sixfivezfb             - 1szbglvbcblqtdqrbdqqhbfzrrq4si6xfi5vezfb          
26 - two8klhvgbm97eightfour6                            - t2o8klhvgbm97ei8ghtfo4ur6                         
81 - szslrmeightsz61eighthnhxv1                         - szslrmei8ghtsz61ei8ghthnhxv1                      
72 - seven42sznlgdsdgfj                                 - se7ven42sznlgdsdgfj                               
39 - three2eight26nine                                  - th3ee2ei8ght26ni9ne                               
44 - 4sevenfmxrhgkll3fivefjsxninefour                   - 4se7venfmxrhgkll3fi5vefjsxni9nefo4ur              
12 - onenlzksgpz2ggnvsmlxxsvqsix6twodbdzvkbhhl          - o1enlzksgpz2ggnvsmlxxsvqsi6x6t2odbdzvkbhhl        
66 - mxs62zfsmkgmxzl6nbsix                              - mxs62zfsmkgmxzl6nbsi6x                            
91 - 9sevenlbbt9twonet                                  - 9se7venlbbt9t2o1et                                
32 - 32tworbbmnbgqjd                                    - 32t2orbbmnbgqjd                                   
76 - jrx7mpbcvqfhfr7sixsixkqmcj                         - jrx7mpbcvqfhfr7si6xsi6xkqmcj                      
35 - vcdcthreefour5bbqbhxqjkqqzkdk                      - vcdcth3eefo4ur5bbqbhxqjkqqzkdk                    
11 - onesevenfourhxfvfoursrq4n1                         - o1ese7venfo4urhxfvfo4ursrq4n1                     
64 - six1hglqzjxfxxd4                                   - si6x1hglqzjxfxxd4                                 
42 - 4lkjljr2                                           - 4lkjljr2                                          
39 - 3brlmgbpdnpslgcsevenxrrftvzlxc5nine                - 3brlmgbpdnpslgcse7venxrrftvzlxc5ni9ne             
17 - czhmhhnrxrbzgtmvn1mbjpnrlsevenbfbztqfp             - czhmhhnrxrbzgtmvn1mbjpnrlse7venbfbztqfp           
34 - xnctftbbm3seveneight9kpkfour                       - xnctftbbm3se7venei8ght9kpkfo4ur                   
63 - xsixsixh5three                                     - xsi6xsi6xh5th3ee                                  
23 - 2lzslqtllcpfdq3                                    - 2lzslqtllcpfdq3                                   
61 - six2xstqpjctsxgtwo941                              - si6x2xstqpjctsxgt2o941                            
66 - sixthree6                                          - si6xth3ee6                                        
64 - 636bmxvvfztzvbrxbfh1four                           - 636bmxvvfztzvbrxbfh1fo4ur                         
49 - h4pcllfnine                                        - h4pcllfni9ne                                      
47 - pknldv4jzlkngvqslchstsnfj7sixsevensevenb           - pknldv4jzlkngvqslchstsnfj7si6xse7vense7venb       
73 - 78threegfclmstbxt                                  - 78th3eegfclmstbxt                                 
96 - 9three9mnkhrrlbgonethreef1six                      - 9th3ee9mnkhrrlbgo1eth3eef1si6x                    
22 - 2bzslfdpvoneeightthreeone3jpqjk2                   - 2bzslfdpvo1eei8ghtth3eeo1e3jpqjk2                 
12 - 1nfjttgvlsn6eight2hznlx                            - 1nfjttgvlsn6ei8ght2hznlx                          
77 - 7three7sevenbdngj6threeseven                       - 7th3ee7se7venbdngj6th3eese7ven                    
12 - one8qdldvhjhrfsixgscfnpvbm2                        - o1e8qdldvhjhrfsi6xgscfnpvbm2                      
84 - mqlhrjksdtbrvrgvpc884ngrddthzjgtjxnjq              - mqlhrjksdtbrvrgvpc884ngrddthzjgtjxnjq             
17 - kpndxtponenine97                                   - kpndxtpo1eni9ne97                                 
72 - vcpsjrxlpfqprxz7threeeight2                        - vcpsjrxlpfqprxz7th3eeei8ght2                      
52 - ztgckbfr5twodpznplgl32rfqjhrvhgmkd                 - ztgckbfr5t2odpznplgl32rfqjhrvhgmkd                
36 - threehfvxnkfhdgmtwo16                              - th3eehfvxnkfhdgmt2o16                             
61 - 6seven36qrndxhxljgkskgtjdtscczz1                   - 6se7ven36qrndxhxljgkskgtjdtscczz1                 
34 - ndcqhqnvtppkfbgljkrd3xfdvqhxkx94                   - ndcqhqnvtppkfbgljkrd3xfdvqhxkx94                  
62 - sixgonebbblkbbqvccnvm2jxpvlnrbmjnsrnqgbb           - si6xgo1ebbblkbbqvccnvm2jxpvlnrbmjnsrnqgbb         
78 - sevenmeight2rlvbkxmxfour3nine8                     - se7venmei8ght2rlvbkxmxfo4ur3ni9ne8                
78 - 72bcdrcbzffkc3oneightnc                            - 72bcdrcbzffkc3o1ei8ghtnc                          
17 - onesevenfour57                                     - o1ese7venfo4ur57                                  
64 - sixnmplqnfx1eightfour                              - si6xnmplqnfx1ei8ghtfo4ur                          
97 - nine5bh4eightseven                                 - ni9ne5bh4ei8ghtse7ven                             
79 - 7gcqthhztknjslxfbcj19                              - 7gcqthhztknjslxfbcj19                             
58 - five2fivethreedbrkgchn8                            - fi5ve2fi5veth3eedbrkgchn8                         
25 - 221565                                             - 221565                                            
23 - 26three83vmtlj                                     - 26th3ee83vmtlj                                    
91 - nine5threeninezgjcpssevenone                       - ni9ne5th3eeni9nezgjcpsse7veno1e                   
89 - xshxdblgf8threehxkntrdn6lghpzt9                    - xshxdblgf8th3eehxkntrdn6lghpzt9                   
36 - fdfqxmn3eight6zssbgnddcv                           - fdfqxmn3ei8ght6zssbgnddcv                         
81 - eight1hrrqmzjjq                                    - ei8ght1hrrqmzjjq                                  
29 - ckhpqtwodqz9r                                      - ckhpqt2odqz9r                                     
47 - zbtjjffourninesix7bqz                              - zbtjjffo4urni9nesi6x7bqz                          
85 - jeightvfdqttxmsix3pnh5lgf                          - jei8ghtvfdqttxmsi6x3pnh5lgf                       
61 - 6onerqbdslg                                        - 6o1erqbdslg                                       
52 - fivep26two                                         - fi5vep26t2o                                       
11 - onetwogscnvv1                                      - o1et2ogscnvv1                                     
87 - eight1487                                          - ei8ght1487                                        
36 - threekksixnine6                                    - th3eekksi6xni9ne6                                 
61 - 69sixoneqhhrqsg                                    - 69si6xo1eqhhrqsg                                  
87 - 8sevenmtcm                                         - 8se7venmtcm                                       
31 - three1jlbfpfdxpqpzspgcllfv                         - th3ee1jlbfpfdxpqpzspgcllfv                        
21 - 27one                                              - 27o1e                                             
43 - mlmfourseven3                                      - mlmfo4urse7ven3                                   
69 - sixninercgrkdpd9                                   - si6xni9nercgrkdpd9                                
33 - three7kmvsztmxjsixthree3bvhmhthreesdrbq            - th3ee7kmvsztmxjsi6xth3ee3bvhmhth3eesdrbq          
77 - mk7                                                - mk7                                               
25 - jstwone8fourkrlmtfk7qjvrghcbfive5                  - jst2o1e8fo4urkrlmtfk7qjvrghcbfi5ve5               
82 - eightchvxseven9nine252                             - ei8ghtchvxse7ven9ni9ne252                         
58 - five68qoneeight                                    - fi5ve68qo1eei8ght                                 
73 - seveneightfive2threetckdpkqrnqpthreevlqlq          - se7venei8ghtfi5ve2th3eetckdpkqrnqpth3eevlqlq      
81 - jlcpvfxpq867xfcjcddvjkjdfnqtnjp1                   - jlcpvfxpq867xfcjcddvjkjdfnqtnjp1                  
73 - prxzmdmbxbfljckhd7pbc5three                        - prxzmdmbxbfljckhd7pbc5th3ee                       
99 - 92fninenhnxjlzninenqmhmmlsfqf                      - 92fni9nenhnxjlzni9nenqmhmmlsfqf                   
95 - ftmljhqxjdhddkbtxlbz9five                          - ftmljhqxjdhddkbtxlbz9fi5ve                        
17 - oneone4cfsnxltqfbnzzljseven                        - o1eo1e4cfsnxltqfbnzzljse7ven                      
79 - gbktqjbrtgsevenninexf6seventwonine                 - gbktqjbrtgse7venni9nexf6se7vent2oni9ne            
99 - nine3fournine                                      - ni9ne3fo4urni9ne                                  
17 - 1fourtwo17seven                                    - 1fo4urt2o17se7ven                                 
26 - twosixmpnpdzmjxlmjsjdnkmnhmdtdg7xrbknkplsix6       - t2osi6xmpnpdzmjxlmjsjdnkmnhmdtdg7xrbknkplsi6x6    
42 - fqzqxzkgzrlkmqfour53seven2                         - fqzqxzkgzrlkmqfo4ur53se7ven2                      
81 - 8three27eight4onekgrlc                             - 8th3ee27ei8ght4o1ekgrlc                           
56 - nzrlgrvfive3vdtqcqrm6                              - nzrlgrvfi5ve3vdtqcqrm6                            
44 - 4qfgvppninetwoone4                                 - 4qfgvppni9net2oo1e4                               
34 - threelpmgkfxoneseven8threebmjtdl4                  - th3eelpmgkfxo1ese7ven8th3eebmjtdl4                
97 - slkrnqlpfxcrgxmnd9one7                             - slkrnqlpfxcrgxmnd9o1e7                            
47 - fouronekbfmdrjxvn8kz1twosevenrth                   - fo4uro1ekbfmdrjxvn8kz1t2ose7venrth                
88 - 8xbvkfqmzjg                                        - 8xbvkfqmzjg                                       
69 - six4xcx97lzninefivenine                            - si6x4xcx97lzni9nefi5veni9ne                       
35 - threesixhfvnjrvpf1sixseveneightfive                - th3eesi6xhfvnjrvpf1si6xse7venei8ghtfi5ve          
83 - 8ninethreethreepdlddhdfp                           - 8ni9neth3eeth3eepdlddhdfp                         
24 - two47threefour                                     - t2o47th3eefo4ur                                   
64 - 61czbc4cvklssbpt                                   - 61czbc4cvklssbpt                                  
82 - 8712st2                                            - 8712st2                                           
13 - lgflr1three                                        - lgflr1th3ee                                       
99 - ninenine9                                          - ni9neni9ne9                                       
85 - ptx86five                                          - ptx86fi5ve                                        
21 - 291                                                - 291                                               
79 - seven82three9                                      - se7ven82th3ee9                                    
68 - mxfhmtcjpxqqsl68hpcfvjj                            - mxfhmtcjpxqqsl68hpcfvjj                           
14 - 1qmvjl6four                                        - 1qmvjl6fo4ur                                      
34 - 3six84                                             - 3si6x84                                           
52 - fivefivefourfiveeight7eightwods                    - fi5vefi5vefo4urfi5veei8ght7ei8ght2ods             
22 - 2seven5five2d                                      - 2se7ven5fi5ve2d                                   
67 - 6five3hqbjsrzhtkv7                                 - 6fi5ve3hqbjsrzhtkv7                               
43 - 4pgcsxslr6h623                                     - 4pgcsxslr6h623                                    
31 - three8one                                          - th3ee8o1e                                         
89 - 8xnsgbjhz9                                         - 8xnsgbjhz9                                        
36 - 3gtqbhdzjninetwo6thrfssxqptjbtmkkmlddhdm           - 3gtqbhdzjni9net2o6thrfssxqptjbtmkkmlddhdm         
69 - 6mldxcjnxv9                                        - 6mldxcjnxv9                                       
88 - mc8one88                                           - mc8o1e88                                          
44 - h4                                                 - h4                                                
52 - fivefour2s                                         - fi5vefo4ur2s                                      
99 - 9q                                                 - 9q                                                
58 - fiveseven8two8lkrtvdqchbvnmzmlhgqbcx               - fi5vese7ven8t2o8lkrtvdqchbvnmzmlhgqbcx            
96 - cpcgpg9cnbsixsix                                   - cpcgpg9cnbsi6xsi6x                                
92 - vglgjf9qzcspsnsbrktbnpnppzmgldtwo                  - vglgjf9qzcspsnsbrktbnpnppzmgldt2o                 
37 - three2kllpcvmmgcseven                              - th3ee2kllpcvmmgcse7ven                            
23 - twofivekvcnfpkplnv2threefivehvxpthree              - t2ofi5vekvcnfpkplnv2th3eefi5vehvxpth3ee           
36 - 36h6hzfhhbtqgqfgthreesix                           - 36h6hzfhhbtqgqfgth3eesi6x                         
89 - 86kkqqseven9                                       - 86kkqqse7ven9                                     
75 - 7jgncdninejvmqdmone5sqjp                           - 7jgncdni9nejvmqdmo1e5sqjp                         
73 - seventhree4eight9three                             - se7venth3ee4ei8ght9th3ee                          
31 - 38knvgxrftdtwo1                                    - 38knvgxrftdt2o1                                   
66 - ksgjdlpxhztnlfc6hxncbgbmgzldvlvmgrjkmtwosix        - ksgjdlpxhztnlfc6hxncbgbmgzldvlvmgrjkmt2osi6x      
17 - dtoneightone427                                    - dto1ei8ghto1e427                                  
38 - 3518msltkgqthvjhs                                  - 3518msltkgqthvjhs                                 
76 - 75qmqvkmf5six                                      - 75qmqvkmf5si6x                                    
87 - 85pvvthreeseven                                    - 85pvvth3eese7ven                                  
19 - ckqoneight4xqqnkdnzpggmxrmhkhx171nineqgd           - ckqo1ei8ght4xqqnkdnzpggmxrmhkhx171ni9neqgd        
79 - 76nine                                             - 76ni9ne                                           
68 - 6threentcfsvvfseven1eight                          - 6th3eentcfsvvfse7ven1ei8ght                       
29 - 23fivetlqdfhxgg312nine                             - 23fi5vetlqdfhxgg312ni9ne                          
18 - 1pjninexlqnthreeoneoneoneightx                     - 1pjni9nexlqnth3eeo1eo1eo1ei8ghtx                  
61 - 6one1                                              - 6o1e1                                             
99 - lfjmdhpj9fiveonelvfivenine                         - lfjmdhpj9fi5veo1elvfi5veni9ne                     
46 - 4xjmxfxxfsbxgk9sixhq                               - 4xjmxfxxfsbxgk9si6xhq                             
82 - 8six8vszdsslqntzjqxx8two                           - 8si6x8vszdsslqntzjqxx8t2o                         
45 - 4one88995five                                      - 4o1e88995fi5ve                                    
15 - nskmvtzd1five                                      - nskmvtzd1fi5ve                                    
42 - 4tpzxkbfq1vlxpvzbxnhqtshzhfourtwo                  - 4tpzxkbfq1vlxpvzbxnhqtshzhfo4urt2o                
78 - 7six341gsl77eight                                  - 7si6x341gsl77ei8ght                               
94 - 94dvc                                              - 94dvc                                             
66 - qzkmxqqh6sixvn                                     - qzkmxqqh6si6xvn                                   
78 - sevenoneone26m8                                    - se7veno1eo1e26m8                                  
99 - ninedtfvl3four15eightjtpfhlzzct9                   - ni9nedtfvl3fo4ur15ei8ghtjtpfhlzzct9               
56 - 5ninesixtvvpblfqgb                                 - 5ni9nesi6xtvvpblfqgb                              
56 - 5twoseven4onedcsqj6                                - 5t2ose7ven4o1edcsqj6                              
62 - gcbtzns6eight52ccvvpsbdgfgg                        - gcbtzns6ei8ght52ccvvpsbdgfgg                      
93 - tczvbfxfvcbfxzvvxp9three                           - tczvbfxfvcbfxzvvxp9th3ee                          
43 - fourkczgcb9knnpkd3                                 - fo4urkczgcb9knnpkd3                               
95 - 9ninefive8nine5                                    - 9ni9nefi5ve8ni9ne5                                
75 - tnkpsxjm7four45bpdg                                - tnkpsxjm7fo4ur45bpdg                              
21 - twofour1glkvvkq                                    - t2ofo4ur1glkvvkq                                  
54 - fiveeightfive8vbqtsmhjqr5vgbmsxrkh7four            - fi5veei8ghtfi5ve8vbqtsmhjqr5vgbmsxrkh7fo4ur       
45 - lhncnxngfour9five                                  - lhncnxngfo4ur9fi5ve                               
54 - 5six36five4                                        - 5si6x36fi5ve4                                     
74 - 74ckc                                              - 74ckc                                             
81 - lkeightwol11                                       - lkei8ght2ol11                                     
52 - five3mnlbmsg2                                      - fi5ve3mnlbmsg2                                    
16 - hmvmgnqlhdgonedxmjxxbpbpt1four6zh                  - hmvmgnqlhdgo1edxmjxxbpbpt1fo4ur6zh                
55 - svmmzbbj5                                          - svmmzbbj5                                         
34 - 3l4                                                - 3l4                                               
17 - 1dgfnone17                                         - 1dgfno1e17                                        
67 - 667                                                - 667                                               
17 - 1qlcg4seven                                        - 1qlcg4se7ven                                      
75 - 756ghcxrmrgtninefivegvmtjhfrj                      - 756ghcxrmrgtni9nefi5vegvmtjhfrj                   
61 - 6twonehjv                                          - 6t2o1ehjv                                         
82 - vpgeight7twonlcfcdspmvpcfj6five2                   - vpgei8ght7t2onlcfcdspmvpcfj6fi5ve2                
78 - 76jhj4sixeight                                     - 76jhj4si6xei8ght                                  
96 - vcfrscgccnine6j                                    - vcfrscgccni9ne6j                                  
83 - mhm8kfjl33ninefivethree                            - mhm8kfjl33ni9nefi5veth3ee                         
82 - 85bfqjpdmbg92rjbthcrfgvcjzqhpgb                    - 85bfqjpdmbg92rjbthcrfgvcjzqhpgb                   
95 - nine554ltcgj5                                      - ni9ne554ltcgj5                                    
89 - eightfivevjszdqkf96ninemgldmdth1nine               - ei8ghtfi5vevjszdqkf96ni9nemgldmdth1ni9ne          
64 - sixq4pcczfqc                                       - si6xq4pcczfqc                                     
32 - three7two                                          - th3ee7t2o                                         
84 - eight9csevenfour                                   - ei8ght9cse7venfo4ur                               
16 - fpnnxvcttscfrgponefive8twohgfkhbssix               - fpnnxvcttscfrgpo1efi5ve8t2ohgfkhbssi6x            
78 - smkjtzm72vmtleightjmkxkgpfzmjpmbbd                 - smkjtzm72vmtlei8ghtjmkxkgpfzmjpmbbd               
74 - 7two1lxvqqzzrvj31fourprzmsdzbf                     - 7t2o1lxvqqzzrvj31fo4urprzmsdzbf                   
84 - kffeightwogzcqpzdbhfvmckxmbhrgvonevcshkbctbc524    - kffei8ght2ogzcqpzdbhfvmckxmbhrgvo1evcshkbctbc524  
12 - fcsoneightnmtgzbbnflnnlk5two                       - fcso1ei8ghtnmtgzbbnflnnlk5t2o                     
65 - 6gkxbhgzbmltwosrmone1five                          - 6gkxbhgzbmlt2osrmo1e1fi5ve                        
69 - sjrfkfjszsix49                                     - sjrfkfjszsi6x49                                   
46 - 47seven82fourfhhfmlshdsix                          - 47se7ven82fo4urfhhfmlshdsi6x                      
66 - sixhjqszlc6kzzbqsldk                               - si6xhjqszlc6kzzbqsldk                             
97 - nineptfourrvrghq7                                  - ni9neptfo4urrvrghq7                               
46 - 4four5one148jcbvnbj6                               - 4fo4ur5o1e148jcbvnbj6                             
99 - ninezfcrvxfnjd6nine                                - ni9nezfcrvxfnjd6ni9ne                             
77 - bfjfbpfseven7                                      - bfjfbpfse7ven7                                    
23 - bdzmktwo4fourkrjj3                                 - bdzmkt2o4fo4urkrjj3                               
75 - nhnfv725                                           - nhnfv725                                          
67 - sixeightsixkkndrj7                                 - si6xei8ghtsi6xkkndrj7                             
86 - eightone2m246                                      - ei8ghto1e2m246                                    
42 - fourhsbdblm74fourcphtwo                            - fo4urhsbdblm74fo4urcpht2o                         
63 - khrjxxrltbpngsmzndgsjmzvgqxfhvkct6eightzrvpmpcc3   - khrjxxrltbpngsmzndgsjmzvgqxfhvkct6ei8ghtzrvpmpcc3 
44 - mlsc4qnlhqjfour                                    - mlsc4qnlhqjfo4ur                                  
95 - 956onefive                                         - 956o1efi5ve                                       
19 - 1xtmbmkscvv2onefivelvlztjtctz5eightnine            - 1xtmbmkscvv2o1efi5velvlztjtctz5ei8ghtni9ne        
39 - 32tmphhjnlfsixskninekjdcftm                        - 32tmphhjnlfsi6xskni9nekjdcftm                     
12 - krgp1hdhgvgpgbvbxgfngvktwo                         - krgp1hdhgvgpgbvbxgfngvkt2o                        
16 - klpnpcplfhlztjgv17six                              - klpnpcplfhlztjgv17si6x                            
58 - 5dsxngmpdvjhnlbhxmp7xqqtgdoneightdvm               - 5dsxngmpdvjhnlbhxmp7xqqtgdo1ei8ghtdvm             
33 - threeeight3t                                       - th3eeei8ght3t                                     
51 - 5fourlpqzq2two1oneqlq                              - 5fo4urlpqzq2t2o1o1eqlq                            
81 - eightfivesixnineeightfour1                         - ei8ghtfi5vesi6xni9neei8ghtfo4ur1                  
54 - 52ppqztdggqgtphdfz4fkrkfztzzqldpg                  - 52ppqztdggqgtphdfz4fkrkfztzzqldpg                 
71 - seven7zbone                                        - se7ven7zbo1e                                      
78 - xg79onef6eighteight                                - xg79o1ef6ei8ghtei8ght                             
39 - three6nvhnqeightgkttsvtwofive9                     - th3ee6nvhnqei8ghtgkttsvt2ofi5ve9                  
78 - rjsevenonefllcrdnbmqcmxqsq38                       - rjse7veno1efllcrdnbmqcmxqsq38                     
24 - twoseven2dppxgmlhr61onenine4                       - t2ose7ven2dppxgmlhr61o1eni9ne4                    
73 - sevenb3btzhscqbrxxjkhtzpv                          - se7venb3btzhscqbrxxjkhtzpv                        
82 - 859two                                             - 859t2o                                            
32 - threetllmjmhdjr18two                               - th3eetllmjmhdjr18t2o                              
91 - 94tmvfpzmgvzsm1fmbhkhzffkzllx                      - 94tmvfpzmgvzsm1fmbhkhzffkzllx                     
